@relation acc
@attribute lat numeric
@attribute lon numeric
@attribute airtemp numeric
@attribute groundtemp numeric
@attribute hours numeric
@attribute acc {Y, N}
@data
47.548164,-122.312515,45.87, 45.66,12, Y 
47.624264,-122.33429,45.85, 46.59,12, Y 
47.655514,-122.3417,45.81, 46.46,12, Y 
47.674545,-122.37357,45.88, 46.50,12, Y 
47.57981,-122.334206,52.28, 52.95,11, Y 
47.68476,-122.34722,51.95, 52.36,11, Y 
47.622486,-122.291985,46.97, 45.97,9, Y 
47.548492,-122.32115,46.57, 45.54,9, Y 
47.554707,-122.282135,46.79, 45.82,9, Y 
47.5793,-122.38395,46.45, 45.53,8, Y 
47.6396,-122.36093,47.80, 46.38,9, Y 
47.571518,-122.33092,43.73, 43.83,4, Y 
47.608753,-122.33689,43.92, 43.83,5, Y 
47.60298,-122.32854,44.22, 43.15,8, Y 
47.690514,-122.33795,47.83, 47.18,10, Y 
47.72321,-122.34498,50.91, 50.82,11, Y 
47.66458,-122.28316,52.50, 53.52,12, Y 
47.565037,-122.37619,46.63, 45.81,7, Y 
47.559807,-122.32327,47.05, 46.95,8, Y 
47.605587,-122.32939,47.10, 47.83,8, Y 
47.675983,-122.36603,47.09, 46.71,7, Y 
47.612896,-122.33684,47.61, 49.12,10, Y 
47.54602,-122.28334,47.38, 49.53,11, Y 
47.65404,-122.319374,47.55, 49.72,11, Y 
47.521027,-122.36731,47.69, 48.42,12, Y 
47.531548,-122.37663,46.87, 47.28,12, Y 
47.60088,-122.33288,47.89, 51.68,12, Y 
47.563473,-122.28604,48.61, 50.34,12, Y 
47.52612,-122.27806,44.85, 45.09,11, Y 
47.527874,-122.27991,51.21, 50.13,5, Y 
47.59626,-122.296326,50.25, 49.40,8, Y 
47.57235,-122.31897,50.47, 49.50,8, Y 
47.552635,-122.32539,50.47, 49.25,8, Y 
47.607014,-122.33069,50.31, 50.27,8, Y 
47.633526,-122.36369,50.49, 49.46,8, Y 
47.66943,-122.36618,50.82, 49.34,9, Y 
47.605164,-122.30634,50.24, 49.45,8, Y 
47.72217,-122.34227,49.98, 49.08,10, Y 
47.57733,-122.2962,50.44, 49.38,10, Y 
47.61404,-122.34566,50.01, 49.74,11, Y 
47.668663,-122.37621,50.17, 50.37,12, Y 
47.712288,-122.33406,50.14, 50.26,12, Y 
47.66212,-122.34455,50.18, 50.32,12, Y 
47.618553,-122.343765,50.32, 50.79,12, Y 
47.624542,-122.339745,50.28, 50.67,12, Y 
47.69516,-122.36871,53.61, 54.37,12, Y 
47.59834,-122.31723,49.98, 50.54,12, Y 
47.544704,-122.37779,46.52, 46.93,2, Y 
47.571392,-122.3342,50.52, 49.55,11, Y 
47.528282,-122.36046,49.43, 48.70,6, Y 
47.686802,-122.32433,50.37, 50.24,7, Y 
47.574966,-122.29557,49.97, 49.48,7, Y 
47.613163,-122.34219,49.98, 50.28,8, Y 
47.51303,-122.27004,50.20, 50.08,9, Y 
47.67867,-122.35946,50.16, 50.14,9, Y 
47.664974,-122.32286,49.46, 49.89,12, Y 
47.639706,-122.37377,50.05, 50.31,12, Y 
47.68549,-122.352425,49.59, 49.89,12, Y 
47.61163,-122.33959,49.97, 50.36,8, Y 
47.63228,-122.320206,49.84, 49.90,8, Y 
47.560806,-122.29324,53.57, 54.46,12, Y 
47.610676,-122.33558,47.27, 48.64,1, Y 
47.681797,-122.35843,46.85, 47.98,2, Y 
47.609024,-122.30502,46.90, 47.45,3, Y 
47.6643,-122.35884,46.71, 48.06,2, Y 
47.578766,-122.329056,47.40, 47.43,3, Y 
47.575005,-122.41077,46.85, 45.69,5, Y 
47.719254,-122.29079,47.03, 46.56,10, Y 
47.554707,-122.282135,50.94, 49.74,2, Y 
47.615585,-122.354225,49.91, 48.82,3, Y 
47.719414,-122.31268,49.72, 49.17,9, Y 
47.715508,-122.291504,49.68, 48.56,3, Y 
47.661385,-122.336296,49.98, 49.29,9, Y 
47.519196,-122.35681,50.17, 49.63,10, Y 
47.524776,-122.32692,50.14, 49.16,8, Y 
47.68506,-122.376785,50.42, 49.79,10, Y 
47.519196,-122.35515,50.20, 49.66,10, Y 
47.59921,-122.335495,50.15, 51.34,11, Y 
47.722107,-122.34092,51.20, 51.35,2, Y 
47.61421,-122.347565,50.47, 50.77,10, Y 
47.6798,-122.32454,50.06, 50.29,10, Y 
47.52425,-122.27658,51.15, 51.29,12, Y 
47.673096,-122.38213,50.94, 51.18,12, Y 
47.6129,-122.30886,51.10, 51.40,12, Y 
47.627808,-122.30204,51.11, 51.35,12, Y 
47.57162,-122.31453,51.25, 51.43,12, Y 
47.65033,-122.38199,52.00, 53.62,6, Y 
